,post_url,author,author_url,author_type,description,media_type,media_url,media_text
0,https://www.linkedin.com/feed/update/urn:li:activity:6818576652075847680/,Universidad Francisco Gavidia,https://www.linkedin.com/company/ufgoficial/,Company,"Check these open positions at Applaudo Studios
Apply at https://lnkd.in/dcNQa2x and submit your application",Carousel,"['https://media-exp3.licdn.com/dms/image/C4D1FAQEfNOb1DM4-Gg/feedshare-document-images_480/1/1625675311597?e=1626217200&v=beta&t=JANdkEtnbaAkOK1jYXVAWyF23LP_kB7YZCnjpovXk9Q', 'https://media-exp3.licdn.com/dms/image/C4D1FAQEfNOb1DM4-Gg/feedshare-document-images_160/2/1625675311541?e=1626217200&v=beta&t=UrgNdy-yMPYKdb0XFH27XL3hHgb3BfyQpKIosbUWjjw', None]",
1,https://www.linkedin.com/feed/update/urn:li:activity:6819502644780920832/,Jose Danilo Cortez Orellana,https://www.linkedin.com/in/jose-danilo-cortez-orellana-3122012b,User,Check this HR opportunity at Applaudo Studios .,Shared LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:6819387677079609344/,
2,https://www.linkedin.com/feed/update/urn:li:activity:6814280258670395392/,Darwin Romero,https://www.linkedin.com/in/darwin-romero-2a301140,User,"We continue to accelerate our Development-As-A-Service product, helping top companies in developed markets with their roadmaps and technical debt.

Now, in this anniversary of ours, we are officially 500 team members at Applaudo Studios. We are excited for this milestone.

Thanks to everyone who has helped us along the way... Gracias a Dios, ¡Vamos por más!.",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQFeK_plRvnmsg/feedshare-shrink_800/0/1624651016442?e=1629331200&v=beta&t=693e-irtg7GH7n9tPyO2aeE6lIPLtE3nqt7ClHCnmp4," 
"
3,https://www.linkedin.com/feed/update/urn:li:activity:6807810156441722880/,Applaudo Studios,https://www.linkedin.com/company/applaudo-studios/,Company,"Today we want you to meet another incredible team member! This is Erick Henríquez, who is a Product Owner at Applaudo Studios 🙌

#BestPlaceToCode #CodeThatChangesLives",Video,https://dms.licdn.com/playlist/C4E05AQHJfjKSiWJtqw/mp4-720p-30fp-crf28/0/1623108420665?e=1626224400&v=beta&t=D1wWK2mGpEv8Qfw-0q_OCW9_yBQVsDNbZGClvcWMUNQ,
4,https://www.linkedin.com/feed/update/urn:li:activity:6816533299163484160/,César Retana,https://www.linkedin.com/in/cretana,User,"Today I got my first Performance Review delivered.

And I couldn't feel more grateful with the results about the things that I'm doing great and I even noticed, and things that I can improve and make it better.

If I can resume in a few words what I learn today, would be:

You're awesome! Believe in yourself! Now it's time to shine, time to be bold!

Really excited for the new challenges that are coming for me at the #BestPlaceToCode Applaudo Studios 🙌🏽",Other,,
5,https://www.linkedin.com/feed/update/urn:li:activity:6817512404776210433/,Jean Manes,https://www.linkedin.com/in/jeanmanes,User,"Terrific visit with Under Secretary Nuland and the entire U.S. delegation to discuss both the challenges and opportunities in #ElSalvador. A highlight was visiting Darwin Romero at Applaudo Studios - seeing this vibrant technology company that could be anywhere in Silicon Valley - - but is growing in the heart of San Salvador. Joined with other innovators Rodrigo Tona at Ternova and Alfredo Atanacio Cader at UAssistMe showcasing what is possible. Proud to support innovation in technology! Delegation members - Victoria Nuland, Julie Chung, Rick ""Rico"" Uribe, Daniel Erikson",Shared LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:6816459257202966528/,
6,https://www.linkedin.com/feed/update/urn:li:activity:6816547989813821440/,Applaudo Studios,https://www.linkedin.com/company/applaudo-studios/,Company,"On June 30th we received the visit of Victoria Nuland, Under Secretary for Political Affairs, who visited Applaudo Studios along with an inter-institutional delegation from the United States Government of the highest level. We had a conversation about the potential of young Salvadorans and how coding can change lives.

Read more about their visit here: https://bit.ly/3AnGzYf",Multiple images,"['https://media-exp3.licdn.com/dms/image/C4E22AQEoUCBaW47qjg/feedshare-shrink_800/0/1625191684500?e=1629331200&v=beta&t=6O6NaO4EKKn6isz-CBK4tatFaEYOAdoDmt0ptHQqKOs', 'https://media-exp3.licdn.com/dms/image/C4E22AQF9FdWijGf4UQ/feedshare-shrink_800/0/1625191684895?e=1629331200&v=beta&t=XCAbMOIO7PxDWp-2QUGQJwimTxb7hj2WUqGFJncZMaw', 'https://media-exp3.licdn.com/dms/image/C4E22AQHD1t_WNmWOmg/feedshare-shrink_800/0/1625191685190?e=1629331200&v=beta&t=Wb8AcrfizdHczH6Elxu1Q5yhcjTKOLGE89QR3_GShuQ']","
 

 

 
"
7,https://www.linkedin.com/feed/update/urn:li:activity:6820447243036950528/,Erick Henríquez,https://www.linkedin.com/in/erick-henr%C3%ADquez-b1195b158,User,"It was such a pleasure to be part of this episode. I truly admire your work Rodrigo Morales and I’m sure these spaces will help to improve El Salvador businesses.

I had so much fun! Thanks for inviting me.",Shared LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:6820416752296497154/,
8,https://www.linkedin.com/feed/update/urn:li:activity:6814580724914638848/,Katina Kenyon,https://www.linkedin.com/in/katina-kenyon,User,"8 is great! Can’t be more proud of what we’ve accomplished. Reach out if we can build software, design your digital products, usher you through your digital transformation, partner with you to execute your software projects! Cesar Bendeck Jaime Garcia Scott Kenyon Darwin Romero Jose Giammattei Applaudo Studios",Video,https://dms.licdn.com/playlist/C4E05AQEPZLi2QWr4CA/mp4-720p-30fp-crf28/0/1624667653968?e=1626224400&v=beta&t=_iq94B68cxPZKiVRbLNPGvX4g_76sEpKGnZMYdJdCqg,
9,https://www.linkedin.com/feed/update/urn:li:activity:6818050892227473408/,Caribejob Barbados,https://www.linkedin.com/company/caribejob-barbados/,Company,"🇧🇧 Applaudo Studios is hiring a UX Designer. Apply Now » https://ca-ri.be/UeDvSZ.
––
#Job #Barbados",Shared link outside LinkedIn without image,https://ca-ri.be/UeDvSZ,
10,https://www.linkedin.com/feed/update/urn:li:activity:6818050836413865985/,Caribejob Barbados,https://www.linkedin.com/company/caribejob-barbados/,Company,"🇧🇧 Applaudo Studios is hiring a UI Designer. Apply Now » https://ca-ri.be/6qNa1U.
––
#Job #Barbados",Shared link outside LinkedIn without image,https://ca-ri.be/6qNa1U,
11,https://www.linkedin.com/feed/update/urn:li:activity:6815767455823200256/,Gabriela Díaz Gutierrez,https://www.linkedin.com/in/gabrieladiazguti,User,"Last week we celebrated our 8th anniversary ♥️ so proud of this company, team and our culture ✨ 5 values that lead our culture, each of them are lived thoroughly each day 🙏🏽it always excites me to see that what the future holds for us! Applaudo Studios",Video,https://dms.licdn.com/playlist/C5605AQFWJQim2g548w/mp4-640p-30fp-crf28/0/1625005593358?e=1626224400&v=beta&t=cDRqHvA90mlXiIZFMLUZSaUjFWgYucvIVWFITuTgUyQ,
12,https://www.linkedin.com/feed/update/urn:li:activity:6819586615862812672/,Caribejob República Dominicana,https://www.linkedin.com/company/caribejob-dominican-republic/,Company,"🇩🇴 Applaudo Studios contratará a un diseñador de interfaz de usuario. Apply Now » https://ca-ri.be/0Ycyok.
. Aplica ya » https://ca-ri.be/0Ycyok.
––
#Empleo #RepublicaDominican",Shared link outside LinkedIn without image,https://ca-ri.be/0Ycyok,
13,https://www.linkedin.com/feed/update/urn:li:activity:6819586618962391040/,Caribejob República Dominicana,https://www.linkedin.com/company/caribejob-dominican-republic/,Company,"🇩🇴 Applaudo Studios está contratando a un diseñador de UX. Apply Now » https://ca-ri.be/dFVdL8.
. Aplica ya » https://ca-ri.be/dFVdL8.
––
#Empleo #RepublicaDominican",Shared link outside LinkedIn without image,https://ca-ri.be/dFVdL8,
14,https://www.linkedin.com/feed/update/urn:li:activity:6818297602006622208/,Carmen A.,https://www.linkedin.com/in/carmenaraujoe,User,"We are currently looking for QA Analysts and QA Automation Engineers to join us at Applaudo Studios! 💪🏽
Apply now to our open positions at:
QA Analyst: https://lnkd.in/dCUenQM
QA Automation Engineer: https://lnkd.in/dEAaXKx
---------------------------------------------------------------
Apply, refer or share! 📣
---------------------------------------------------------------
The hiring and onboarding process is held remotely.
#BestPlaceToCode #CodeThatChangesLives",Single image,https://media-exp3.licdn.com/dms/image/C4D22AQHixHhZrBrR4A/feedshare-shrink_800/0/1625608825678?e=1629331200&v=beta&t=PoCHnRaY6KuIRyxjXbZjbGWaamGePxH10k3fqKU9R90," 

WE ARE LOOKING FOR

QA Analyst and
QA Automation
Engineer

Apply at

   

 
"
15,https://www.linkedin.com/feed/update/urn:li:activity:6819065721989971968/,Applaudo Studios,https://www.linkedin.com/company/applaudo-studios/,Company,"We strive to develop high-quality products and effective solutions tailored to the needs of our customers.

Do you have a project in mind? Let’s talk: https://lnkd.in/gXX9vhg
Check our Clutch.co profile: https://lnkd.in/eFSeENW

#SoftwareExperts #NearshoreSoftwareDevelopment",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQFSEuWPfWzkaw/feedshare-shrink_800/0/1625791959852?e=1629331200&v=beta&t=bZzNyHw8Wya3H_Uor-iQGoyv74dSQKVXkPTP6SXHUjY,"7)

By far, they're
THE BEST
OFFSHORE VENDOR

that I've encountered

50 kkk Q Quality: 5.0 © cost: 5.0

willing to refer: 5.0] Industry: Sports

Clutch
"
16,https://www.linkedin.com/feed/update/urn:li:activity:6817981511946551296/,Applaudo Studios,https://www.linkedin.com/company/applaudo-studios/,Company,"We want you to be part of the first edition of Meet our team - Live interviews! Get to know more about our team members from all over LATAM and their experience in Applaudo. Stay tuned to our social media this Wednesday, July 7 at 3 pm!

#BestPlaceToCode #TechMadeinLATAM #CodeThatChangesLives",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQEe-rFI5jSMrQ/feedshare-shrink_800/0/1625533463829?e=1629331200&v=beta&t=9DQn9vFJcG6y_aCbvCeedrK9KmlJFktt2TH4QXdwW58,"Participants:

   

s a
> = “- <a
“
Camila Natasha Jorge

Domancich Almanzar Rivera

  

Hosts:

E Aracely - Camila
INTERVIEWS Gein: € Bustamante
Senior Recruiter gam. v HR Specialist gum
w ww

jered by Aj] ApplaudoStudios

 
"
