,post_url,media_url,author,media_type,inferenceTime,object1,object2,object3,object4,object5
0,https://www.linkedin.com/feed/update/urn:li:activity:6814280258670395392/,https://media-exp3.licdn.com/dms/image/C4E22AQFeK_plRvnmsg/feedshare-shrink_800/0/1624651016442?e=1629331200&v=beta&t=693e-irtg7GH7n9tPyO2aeE6lIPLtE3nqt7ClHCnmp4,Darwin Romero,Single image,0.5303130149841309,Mobile phone,Computer keyboard,Drawer,Laptop,Wheel
0,https://www.linkedin.com/feed/update/urn:li:activity:6818297602006622208/,https://media-exp3.licdn.com/dms/image/C4D22AQHixHhZrBrR4A/feedshare-shrink_800/0/1625608825678?e=1629331200&v=beta&t=PoCHnRaY6KuIRyxjXbZjbGWaamGePxH10k3fqKU9R90,Carmen A.,Single image,0.3835010528564453,Poster,Human face,Picture frame,Mobile phone,Computer monitor
0,https://www.linkedin.com/feed/update/urn:li:activity:6819065721989971968/,https://media-exp3.licdn.com/dms/image/C4E22AQFSEuWPfWzkaw/feedshare-shrink_800/0/1625791959852?e=1629331200&v=beta&t=bZzNyHw8Wya3H_Uor-iQGoyv74dSQKVXkPTP6SXHUjY,Applaudo Studios,Single image,0.42569637298583984,Mobile phone,Poster,Window,Book,Clothing
0,https://www.linkedin.com/feed/update/urn:li:activity:6817981511946551296/,https://media-exp3.licdn.com/dms/image/C4E22AQEe-rFI5jSMrQ/feedshare-shrink_800/0/1625533463829?e=1629331200&v=beta&t=9DQn9vFJcG6y_aCbvCeedrK9KmlJFktt2TH4QXdwW58,Applaudo Studios,Single image,0.3944675922393799,Human face,Clothing,Woman,Person,Man
0,https://www.linkedin.com/feed/update/urn:li:activity:6818699375741607936/,https://media-exp3.licdn.com/dms/image/C4E22AQFlv1GTS49TLQ/feedshare-shrink_800/0/1625704615751?e=1629331200&v=beta&t=AR45vpbcSrGr_g2hUlo23O8M-f3z4t3-BvEFBFMV2hU,Applaudo Studios,Single image,0.4356222152709961,Man,Human face,Clothing,Plant,Human head
0,https://www.linkedin.com/feed/update/urn:li:activity:6816518557036281856/,https://media-exp3.licdn.com/dms/image/C4E22AQF966xwVXOh1g/feedshare-shrink_800/0/1625184667430?e=1629331200&v=beta&t=ioXv_mjpPcSLO58u_CA9HlrShS7ZIb8zBRRUKcTqhww,Ternova,Single image,0.4341597557067871,Table,Man,Clothing,Person,Chair
0,https://www.linkedin.com/feed/update/urn:li:activity:6818343933689573376/,https://media-exp3.licdn.com/dms/image/C4E22AQHR0IKxeewLBg/feedshare-shrink_800/0/1625619871910?e=1629331200&v=beta&t=Ah_JQ6wVP52Fd3MS0BxvuBfd04KG7lykLWe5vAZu0ys,Applaudo Studios,Single image,0.4657609462738037,Mobile phone,Poster,Footwear,Clothing,Fashion accessory
0,https://www.linkedin.com/feed/update/urn:li:activity:6817149955245973504/,https://media-exp3.licdn.com/dms/image/C4E22AQG24g8bwbsEJw/feedshare-shrink_800/0/1625335200594?e=1629331200&v=beta&t=VJdnKUpWIMsrCLP-ElNX7nGmAbbBNtn2qu_kvPr6Vks,Applaudo Studios,Single image,0.5039796829223633,Picture frame,Poster,Power plugs and sockets,Mobile phone,Ipod
0,https://www.linkedin.com/feed/update/urn:li:activity:6816881830885683200/,https://media-exp3.licdn.com/dms/image/C4E22AQFyPqq2Jpdcyg/feedshare-shrink_800/0/1625271279375?e=1629331200&v=beta&t=hnPL54RWn-SNbhY1BnuVHXM6MDjU9MDer7gw2mAPB8g,Applaudo Studios,Single image,0.4560706615447998,Laptop,Mobile phone,Poster,Computer keyboard,Clothing
0,https://www.linkedin.com/feed/update/urn:li:activity:6815806398857842688/,https://media-exp3.licdn.com/dms/image/C4E22AQHyzxodV9ZtmA/feedshare-shrink_800/0/1625014876439?e=1629331200&v=beta&t=YCE0TofmmDsVuZP4UzhMPeNVIBSaBppn6UxRC_QmWs0,Applaudo Studios,Single image,0.5006470680236816,Laptop,Computer keyboard,Poster,Clothing,Person
